Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
Bobby Abreu,18,1996,2014,2,2425,10081,8480,1453,2470,574,59,288,1363,400,128,1476,1840,.291,.395,.475,.870,60.17,"Mar 11, 1974","Sep 1, 1996","Maracay, Aragua",*9DH7/8
Wilyer Abreu,2,2023,2024,0,81,274,245,36,70,20,2,8,36,10,2,28,72,.286,.358,.482,.839,2.65,"Jun 24, 1999","Aug 22, 2023","Maracaibo, Zulia",9/7H8D
Ronald Acuña Jr.,7,2018,2024,4,722,3254,2818,581,815,145,12,165,417,196,49,368,719,.289,.379,.525,.904,25.82,"Dec 18, 1997","Apr 25, 2018","La Guaira, La Guaira",*987D/H
Ehire Adrianza,12,2013,2024,0,624,1578,1394,187,330,76,9,22,151,19,8,129,312,.237,.307,.352,.658,0.76,"Aug 21, 1989","Sep 8, 2013","Guarenas, Miranda",H65473/9D18
Jesús Aguilar,10,2014,2023,1,795,2658,2348,288,594,107,2,114,402,1,1,235,622,.253,.322,.446,.768,3.50,"Jun 30, 1990","May 15, 2014","Maracay, Aragua",*3HD/5
Edgardo Alfonzo,12,1995,2006,1,1506,6108,5385,777,1532,282,18,146,744,53,17,596,617,.284,.357,.425,.782,28.74,"Nov 8, 1973","Apr 26, 1995","Santa Teresa del Tuy, Miranda",*5*4H6/D3
Eliézer Alfonzo,6,2006,2011,0,193,624,591,44,142,24,3,17,67,1,2,17,158,.240,.271,.377,.648,-0.02,"Feb 7, 1979","Jun 3, 2006","Puerto La Cruz, Anzoategui",2H
Jose Altuve,14,2011,2024,8,1730,7635,6919,1097,2120,412,31,218,768,301,86,571,961,.306,.363,.469,.833,50.97,"May 6, 1990","Jul 20, 2011","Puerto Cabello, Carabobo",*4D/H6
José Alvarado,8,2017,2024,0,70,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,4.29,"May 21, 1995","May 3, 2017","Maracaibo, Zulia",*1/3
Clemente Álvarez,1,2000,2000,0,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,-0.06,"May 18, 1968","Sep 19, 2000","Guanta, Anzoategui",/2H
Francisco Alvarez,3,2022,2024,0,144,496,449,62,95,17,0,27,72,3,0,40,128,.212,.284,.430,.714,1.23,"Nov 19, 2001","Sep 30, 2022","Guatire, Miranda",2/HD
Henderson Alvarez III,6,2011,2017,1,54,115,100,5,22,4,0,1,9,0,0,1,36,.220,.223,.290,.513,8.50,"Apr 18, 1990","Aug 10, 2011","Valencia, Carabobo",1
José Álvarez,10,2013,2022,0,143,8,4,1,0,0,0,0,0,0,0,3,2,.000,.429,.000,.429,4.64,"May 6, 1989","Jun 9, 2013","Barcelona, Anzoategui",*1
Tony Alvarez,2,2002,2004,0,38,75,64,11,16,4,0,2,10,1,0,7,12,.250,.324,.406,.731,-0.14,"May 10, 1979","Sep 4, 2002","Caracas, Distrito Federal",/H897
Wilson Álvarez,14,1989,2005,1,96,104,95,6,13,0,0,0,1,0,0,4,33,.137,.172,.137,.309,24.81,"Mar 24, 1970","Jul 24, 1989","Maracaibo, Zulia",*1
Adbert Alzolay,6,2019,2024,0,32,38,36,1,2,1,0,0,0,0,0,1,15,.056,.081,.083,.164,2.46,"Mar 1, 1995","Jun 20, 2019","San Felix, Bolivar",1/H
Alexi Amarista,7,2011,2017,0,702,1901,1750,171,404,67,16,21,169,39,10,109,295,.231,.275,.323,.599,-0.62,"Apr 6, 1989","Apr 26, 2011","Barcelona, Anzoategui",6H4875/91D
Elvis Andrus,15,2009,2023,2,2059,8603,7772,1058,2091,380,51,102,775,347,115,611,1206,.269,.325,.370,.695,34.16,"Aug 26, 1988","Apr 6, 2009","Maracay, Aragua",*64H/D5
Luis Aparicio HOF,18,1956,1973,13,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,.262,.311,.343,.653,55.85,"Apr 29, 1934","Apr 17, 1956","Maracaibo, Zulia",*6H
Luis Aponte,5,1980,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4.36,"Jun 14, 1953","Sep 4, 1980","El Tigre, Anzoategui",1
Elvis Araújo,2,2015,2016,0,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.46,"Jul 15, 1991","May 5, 2015","Maracaibo, Zulia",1
Francisco Arcia,1,2018,2018,0,40,106,103,10,21,5,0,6,23,1,0,1,27,.204,.226,.427,.654,-0.01,"Sep 14, 1989","Jul 26, 2018","Maiquetia, La Guaira",2/H13D
Orlando Arcia,9,2016,2024,1,839,2950,2716,304,667,120,7,76,309,41,16,197,592,.246,.297,.379,.676,5.27,"Aug 4, 1994","Aug 2, 2016","Anaco, Anzoategui",*64H/75D18
Oswaldo Arcia,4,2013,2016,0,288,1075,983,103,231,40,6,44,131,3,5,76,339,.235,.298,.422,.720,-1.66,"May 9, 1991","Apr 15, 2013","Anaco, Anzoategui",97/HD
Gabriel Arias,3,2022,2024,0,176,524,477,56,99,23,2,12,41,8,4,41,167,.208,.273,.340,.613,-0.46,"Feb 27, 2000","Apr 20, 2022","La Victoria, Aragua",635/H948D7
Marcos Armas,1,1993,1993,0,15,33,31,7,6,2,0,1,1,1,0,1,12,.194,.242,.355,.597,0.14,"Aug 5, 1969","May 25, 1993","Puerto Piritu, Anzoategui",/3HD9
Tony Armas,14,1976,1989,2,1432,5502,5164,614,1302,204,39,251,815,18,20,260,1201,.252,.287,.453,.740,15.84,"Jul 2, 1953","Sep 6, 1976","Puerto Piritu, Anzoategui",*9*87DH/36
Tony Armas,10,1999,2008,0,172,299,268,6,26,2,1,0,10,0,0,4,99,.097,.110,.112,.222,6.85,"Apr 29, 1978","Aug 16, 1999","Puerto Piritu, Anzoategui",1
Luis Arráez,6,2019,2024,2,597,2459,2242,325,733,120,12,25,218,14,11,183,181,.327,.379,.425,.804,16.45,"Apr 9, 1997","May 18, 2019","San Felipe, Yaracuy",*435D7H/6
Humberto Arteaga,2,2019,2021,0,42,139,125,11,24,4,0,0,5,1,1,8,28,.192,.250,.224,.474,-0.78,"Jan 23, 1994","Jun 20, 2019","Caracas, Distrito Federal",6/4H51
Carlos Ascanio,1,1946,1946,0,18,70,62,3,10,0,0,0,6,1,,6,,.161,.235,.161,.397,-0.58,"Apr 4, 1918",Unknown,"Santa Lucia, Miranda",/3
José Ascanio,4,2007,2011,0,40,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.22,"May 2, 1985","Jul 13, 2007","Maracay, Aragua",1
Willians Astudillo,5,2018,2022,0,188,588,561,63,150,22,1,16,70,1,0,11,28,.267,.291,.396,.687,-0.63,"Oct 14, 1991","Jun 30, 2018","Barcelona, Anzoategui",523/H419D78
Carlos Asuaje,3,2016,2018,0,175,586,520,45,125,24,2,6,42,1,2,53,126,.240,.312,.329,.641,0.34,"Nov 2, 1991","Sep 21, 2016","Barquisimeto, Lara",4H/53
Pedro Avila,5,2019,2024,0,3,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.46,"Jan 14, 1997","Apr 11, 2019","Caracas, Distrito Federal",1
Luis Avilán,10,2012,2021,0,371,9,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,4.46,"Jul 19, 1989","Jul 14, 2012","Caracas, Distrito Federal",*1
José Azocar,3,2022,2024,0,202,389,358,50,88,17,3,2,21,16,9,21,85,.246,.291,.327,.617,0.27,"May 11, 1996","Apr 7, 2022","Guiria, Sucre",978H/D
Oscar Azócar,3,1990,1992,0,202,460,439,38,99,16,0,5,36,10,0,12,36,.226,.248,.296,.544,-0.24,"Feb 21, 1965","Jul 17, 1990","Soro, Sucre",H7/93D
Josh Barfield,4,2006,2009,0,309,1075,1012,133,267,53,6,16,112,35,11,44,188,.264,.295,.375,.671,2.57,"Dec 17, 1982","Apr 3, 2006","Barquisimeto, Lara",4H/D7
Franklin Barreto,4,2017,2020,0,101,237,228,31,40,7,2,9,29,4,0,7,100,.175,.207,.342,.549,-0.96,"Feb 27, 1996","Jun 24, 2017","Caracas, Distrito Federal",4H/6D57
Jorge Barrosa,1,2024,2024,0,3,10,10,1,2,1,0,0,1,0,0,0,1,.200,.200,.300,.500,-0.04,"Feb 17, 2001","Apr 1, 2024","Puerto Cabello, Carabobo",/8H
Luis Alexander Basabe,1,2020,2020,0,9,18,14,5,2,0,0,0,1,2,0,4,5,.143,.333,.143,.476,0.09,"Aug 26, 1996","Aug 27, 2020","El Vigia, Merida",/97H
Osleivis Basabe,1,2023,2023,0,31,94,87,15,19,5,0,1,12,0,1,6,25,.218,.277,.310,.587,0.36,"Sep 13, 2000","Aug 13, 2023","Bobures, Zulia",/65H497
Eduard Bazardo,4,2021,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.53,"Sep 1, 1995","Apr 14, 2021","Maracay, Aragua",1
Yorman Bazardo,4,2005,2009,0,12,11,11,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-1.16,"Jul 11, 1984","May 26, 2005","Maracay, Aragua",/1
Ronald Belisario,6,2009,2015,0,266,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0.79,"Dec 31, 1982","Apr 7, 2009","Maracay, Aragua",*1
Edwin Bellorin,3,2007,2009,0,8,14,13,1,3,0,0,0,0,0,0,1,1,.231,.286,.231,.516,-0.17,"Feb 21, 1982","Aug 7, 2007","San Felix, Bolivar",/2H
William Bergolla,1,2005,2005,0,17,38,38,3,5,0,0,0,1,0,0,0,10,.132,.132,.132,.263,-0.44,"Feb 4, 1983","May 9, 2005","Naguanagua, Carabobo",/4H6
Rafael Betancourt,12,2003,2015,0,315,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,14.10,"Apr 29, 1975","Jul 13, 2003","Cumana, Sucre",*1
Andrés Blanco,10,2004,2017,0,536,1321,1191,137,305,73,9,18,109,5,13,79,202,.256,.310,.378,.688,1.57,"Apr 11, 1984","Apr 17, 2004","Urama, Carabobo",4H653/D719
Damaso Blanco,3,1972,1974,0,72,39,33,9,7,1,0,0,2,3,1,5,6,.212,.308,.242,.550,-0.05,"Dec 11, 1941","May 26, 1972","Curiepe, Miranda",H/564
Grégor Blanco,10,2008,2018,0,1060,3349,2929,394,746,118,39,26,235,122,40,363,661,.255,.338,.348,.687,7.40,"Dec 24, 1983","Mar 30, 2008","Caracas, Distrito Federal",*8*7H9/D
Henry Blanco,16,1997,2013,0,971,3087,2761,274,615,145,11,72,298,6,11,254,546,.223,.288,.361,.649,-0.06,"Aug 29, 1971","Jul 25, 1997","Caracas, Distrito Federal",*2H/357
Ossie Blanco,2,1970,1974,0,52,114,102,5,20,0,0,0,10,0,4,10,18,.196,.263,.196,.459,-1.01,"Sep 8, 1945","May 26, 1970","Caracas, Distrito Federal",3/HD7
J.C. Boscán,4,2010,2013,0,17,30,28,2,7,1,0,0,2,0,0,1,8,.250,.300,.286,.586,0.02,"Dec 26, 1979","Oct 1, 2010","Maracaibo, Zulia",/2H
Wilfredo Boscán,1,2016,2016,0,5,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,-0.12,"Oct 26, 1989","May 19, 2016","Maracaibo, Zulia",/1
Silvino Bracho,7,2015,2023,0,85,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.14,"Jul 17, 1992","Aug 30, 2015","Maracaibo, Zulia",1
Ángel Bravo,3,1969,1971,0,149,246,218,26,54,7,3,1,12,2,2,20,31,.248,.315,.321,.636,-0.03,"Aug 4, 1942","Jun 6, 1969","Maracaibo, Zulia",H8/79
José Briceño,2,2018,2020,0,48,134,122,12,29,2,0,5,10,0,1,9,36,.238,.301,.377,.678,0.56,"Sep 19, 1992","May 26, 2018","Caracas, Distrito Federal",2/H3
José Buttó,3,2022,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.44,"Mar 19, 1998","Aug 21, 2022","Cumana, Sucre",/1
Alex Cabrera,1,2000,2000,0,31,87,80,10,21,2,1,5,14,0,0,4,21,.263,.299,.500,.799,0.39,"Dec 24, 1971","Jun 26, 2000","Caripito, Monagas",/39H7
Asdrúbal Cabrera,15,2007,2021,2,1822,7401,6632,886,1763,401,28,195,869,91,32,589,1330,.266,.329,.423,.752,29.65,"Nov 13, 1985","Aug 8, 2007","Puerto La Cruz, Anzoategui",*6*45H3D/1
Miguel Cabrera,21,2003,2023,12,2797,11796,10356,1551,3174,627,17,511,1881,40,21,1258,2105,.306,.382,.518,.901,67.14,"Apr 18, 1983","Jun 20, 2003","Maracay, Aragua",*3*5*D79/H
Oswaldo Cabrera,3,2022,2024,0,206,670,609,75,138,24,1,15,69,13,3,50,146,.227,.285,.343,.628,0.87,"Mar 1, 1999","Aug 17, 2022","Guarenas, Miranda",957/H643D8
Ramón Cabrera,2,2015,2016,0,74,215,201,15,53,11,0,4,26,1,1,8,35,.264,.291,.378,.669,0.54,"Nov 5, 1989","Sep 5, 2015","Caracas, Distrito Federal",2/H
Edgar Cáceres,1,1995,1995,0,55,130,117,13,28,6,2,1,17,2,2,8,15,.239,.291,.350,.642,0.18,"Jun 6, 1964","Jun 8, 1995","Barquisimeto, Lara",4/H635D
Miguel Cairo,17,1996,2012,0,1490,4392,3956,504,1044,193,34,41,394,139,40,243,482,.264,.314,.361,.675,7.64,"May 4, 1974","Apr 17, 1996","Anaco, Anzoategui",*4*H5376/D9
Alberto Callaspo,10,2006,2015,0,1093,3956,3556,391,941,170,14,52,369,22,14,350,365,.265,.329,.364,.693,9.62,"Apr 19, 1983","Aug 6, 2006","Maracay, Aragua",*54HD6/379
Leonel Campos,4,2014,2017,0,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.17,"Jul 17, 1987","Sep 3, 2014","Valera, Trujillo",1
Vicente Campos,1,2016,2016,0,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.07,"Jul 27, 1992","Aug 27, 2016","La Guaira, La Guaira",/1
Willie Cañate,1,1993,1993,0,38,57,47,12,10,0,0,1,3,1,1,6,15,.213,.309,.277,.586,0.06,"Dec 11, 1971","Apr 16, 1993","Bobures, Zulia",/7H98D
Giovanni Carrara,10,1995,2006,0,257,36,31,2,3,0,0,0,0,0,0,1,11,.097,.125,.097,.222,1.72,"Mar 4, 1968","Jul 29, 1995","El Tigre, Anzoategui",*1
Carlos Carrasco,15,2009,2024,0,22,40,31,1,2,0,0,0,1,0,0,1,18,.065,.094,.065,.158,19.79,"Mar 21, 1987","Sep 1, 2009","Barquisimeto, Lara",*1
Alex Carrasquel,8,1939,1949,0,258,274,229,15,33,5,0,1,12,0,1,27,75,.144,.240,.179,.419,6.08,"Jul 24, 1912","Apr 23, 1939","Caracas, Distrito Federal",1
Chico Carrasquel,10,1950,1959,4,1325,5264,4644,568,1199,172,25,55,474,31,28,491,467,.258,.333,.342,.674,21.38,"Jan 23, 1926","Apr 18, 1950","Caracas, Distrito Federal",*65H/43
Amalio Carreño,1,1991,1991,0,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.34,"Apr 11, 1964","Jul 7, 1991","Chacachacare, Nueva Esparta",/1
Ezequiel Carrera,7,2011,2017,0,508,1305,1164,174,305,45,9,19,97,44,13,96,279,.262,.324,.365,.690,0.65,"Jun 11, 1987","May 20, 2011","Guiria, Sucre",798H/D
Marcos Carvajal,2,2005,2007,0,40,4,4,0,1,0,0,0,2,0,0,0,3,.250,.250,.250,.500,0.22,"Aug 19, 1984","Apr 6, 2005","Ciudad Bolivar, Bolivar",1
Pedro Castellano,3,1993,1996,0,51,107,93,13,15,2,0,3,9,1,1,13,25,.161,.271,.280,.551,-1.21,"Mar 11, 1970","May 30, 1993","Barquisimeto, Lara",/5H3467
Diego Castillo,2,2022,2023,0,97,284,263,28,54,13,0,11,29,1,1,14,75,.205,.250,.380,.630,-0.74,"Oct 28, 1997","Apr 7, 2022","Barquisimeto, Lara",6/49H35D1
Erick Castillo,1,2021,2021,0,4,9,8,0,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,0.14,"Feb 25, 1993","Sep 30, 2021","Araure, Portuguesa",/2H
José Castillo,4,2018,2023,0,35,1,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0.45,"Jan 10, 1996","Jun 2, 2018","Valencia, Carabobo",1
José Castillo,5,2004,2008,0,592,2059,1918,211,487,103,10,39,218,13,11,111,378,.254,.296,.379,.675,-2.85,"Mar 19, 1981","Apr 7, 2004","Las Mercedes, Guarico",*45H/69
Juan Castillo,1,1994,1994,0,2,5,5,0,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,-0.17,"Jun 23, 1970","Jul 26, 1994","Caracas, Distrito Federal",/1
Max Castillo,2,2022,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.37,"May 4, 1999","Jun 19, 2022","Caracas, Distrito Federal",/1
Tony Castillo,10,1988,1998,0,88,18,13,1,1,0,0,0,0,0,0,1,6,.077,.143,.077,.220,6.33,"Mar 1, 1963","Aug 14, 1988","Quibor, Lara",*1
Anthony Castro,3,2020,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.69,"Apr 13, 1995","Jul 27, 2020","Caracas, Distrito Federal",1
Harold Castro,6,2018,2023,0,450,1485,1406,134,391,61,7,16,156,7,4,54,316,.278,.303,.366,.669,-2.32,"Nov 30, 1993","Sep 23, 2018","Caracas, Distrito Federal",463H58/7D91
Kervin Castro,2,2021,2022,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.37,"Feb 7, 1999","Sep 7, 2021","Maracay, Aragua",/1
Ramón Castro,1,2004,2004,0,9,16,15,2,2,1,0,0,3,0,0,1,3,.133,.188,.200,.388,-0.16,"Oct 23, 1979","Jun 21, 2004","Valencia, Carabobo",/5HD6
Roger Cedeño,11,1995,2005,0,1100,3557,3174,478,865,127,32,40,274,213,63,319,613,.273,.340,.371,.710,1.68,"Aug 16, 1974","Jun 20, 1995","Valencia, Carabobo",*978H/D4
Ronny Cedeño,10,2005,2014,0,875,2792,2565,265,629,116,20,40,239,39,25,146,567,.245,.289,.353,.641,-1.57,"Feb 2, 1983","Apr 23, 2005","Puerto Cabello, Carabobo",*6H4/57D38
Francisco Cervelli,13,2008,2020,0,730,2618,2256,281,605,102,16,41,275,17,13,270,505,.268,.358,.382,.740,13.87,"Mar 6, 1986","Sep 18, 2008","Valencia, Carabobo",*2H/3D54
Alejandro Chacín,1,2017,2017,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.19,"Jun 24, 1993","Aug 23, 2017","Maracay, Aragua",/1
Gustavo Chacín,5,2004,2010,0,43,9,8,2,1,0,0,1,1,0,0,0,2,.125,.125,.500,.625,4.08,"Dec 4, 1980","Sep 20, 2004","Maracaibo, Zulia",1
Jhoulys Chacín,14,2009,2022,0,260,406,361,16,65,8,0,2,22,1,0,11,88,.180,.205,.219,.424,19.10,"Jan 7, 1988","Jul 25, 2009","Maracaibo, Zulia",*1/H
Elio Chacón,3,1960,1962,0,228,742,616,89,143,15,5,4,39,20,12,111,109,.232,.351,.292,.644,1.27,"Oct 26, 1936","Apr 20, 1960","Caracas, Distrito Federal",64H/975
Endy Chávez,13,2001,2014,0,1151,3436,3149,385,849,140,34,30,266,106,42,180,356,.270,.308,.364,.672,5.02,"Feb 7, 1978","May 29, 2001","Valencia, Carabobo",*879H/D
Néstor Chávez,1,1967,1967,0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.03,"Jul 6, 1947","Sep 9, 1967","Chacao, Miranda",/1
Raúl Chávez,11,1996,2009,0,263,725,680,48,157,27,1,7,65,4,2,31,115,.231,.266,.304,.570,0.00,"Mar 17, 1973","Aug 30, 1996","Valencia, Carabobo",2/H
Robinson Chirinos,11,2011,2022,0,714,2457,2124,275,480,114,5,95,306,5,4,231,664,.226,.319,.419,.738,12.79,"Jun 5, 1984","Jul 18, 2011","Punto Fijo, Falcon",*2H/D354
Yonny Chirinos,5,2018,2023,0,2,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,3.52,"Dec 26, 1993","Apr 1, 2018","Bachaquero, Zulia",1
Jackson Chourio,1,2024,2024,0,53,183,171,21,36,4,0,6,19,7,1,10,50,.211,.253,.339,.592,0.07,"Mar 11, 2004","Mar 29, 2024","Maracaibo, Zulia",9/7H
Alvin Colina,1,2006,2006,0,2,5,5,0,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,-0.05,"Dec 26, 1981","Sep 18, 2006","Puerto Cabello, Carabobo",/2H
Edwar Colina,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.15,"May 3, 1997","Sep 25, 2020","Caracas, Distrito Federal",/1
Cris Colón,1,1992,1992,0,14,38,36,5,6,0,0,0,1,0,0,1,8,.167,.189,.167,.356,-0.19,"Jan 3, 1969","Sep 18, 1992","La Guaira, La Guaira",/6H
Dave Concepción,19,1970,1988,9,2488,9641,8723,993,2326,389,48,101,950,321,109,736,1186,.267,.322,.357,.679,40.14,"Jun 17, 1948","Apr 6, 1970","Ocumare de la Costa, Aragua",*6H453/81
William Contreras,5,2020,2024,1,356,1462,1296,204,366,73,4,53,191,12,1,148,343,.282,.359,.468,.826,9.10,"Dec 24, 1997","Jul 24, 2020","Puerto Cabello, Carabobo",2D/H7
Willson Contreras,9,2016,2024,3,890,3482,3016,428,779,171,10,143,444,30,20,348,832,.258,.352,.464,.816,25.82,"May 13, 1992","Jun 17, 2016","Puerto Cabello, Carabobo",*2DH7/395
Darwin Cubillán,3,2000,2004,0,28,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.52,"Nov 15, 1972","May 20, 2000","Bobures, Zulia",1
William Cuevas,3,2016,2018,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.41,"Oct 14, 1990","Apr 21, 2016","Caracas, Distrito Federal",/1
Omar Daal,11,1993,2003,0,357,315,270,23,53,8,0,2,21,0,0,14,61,.196,.236,.248,.484,8.65,"Mar 1, 1972","Apr 23, 1993","Maracaibo, Zulia",*1
Pompeyo Davalillo,1,1953,1953,0,19,64,58,10,17,1,0,0,2,1,0,1,7,.293,.305,.310,.615,0.15,"Jun 30, 1928","Aug 1, 1953","Cabimas, Zulia",/6H
Vic Davalillo,16,1963,1980,1,1458,4296,4017,510,1122,160,37,36,329,125,58,212,422,.279,.315,.364,.680,15.71,"Jul 30, 1939","Apr 9, 1963","Cabimas, Zulia",*8*H973/D1
Yonathan Daza,4,2019,2023,0,288,924,844,97,237,40,5,4,74,4,4,57,152,.281,.329,.354,.683,0.34,"Feb 28, 1994","Apr 9, 2019","Maracay, Aragua",8H7/9
Enmanuel De Jesus,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.18,"Dec 10, 1996","Sep 9, 2023","Valencia, Carabobo",/1
