Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1970,22,CIN,NL,101,296,265,38,69,6,3,1,19,10,2,23,45,.260,.324,.317,.641,70,84,10,3,3,2,5,6H/4,,1970,22,CIN,NL,101,296,-11,2,0,-3,5,-8,-0.8,10,2,0.2,.492,.495,0.5,0.3,5,,6H/4,
1971,23,CIN,NL,130,354,327,24,67,4,4,1,20,9,3,18,51,.205,.246,.251,.496,44,82,10,0,8,1,2,*6H4/58,,1971,23,CIN,NL,130,354,-20,0,0,12,6,-2,-0.2,12,10,1.1,.498,.499,-0.3,2.1,-1,,*6H4/58,
1972,24,CIN,NL,119,421,378,40,79,13,2,2,29,13,6,32,65,.209,.272,.270,.541,59,102,11,2,5,4,8,*6/5H4,,1972,24,CIN,NL,119,421,-18,1,0,4,7,-6,-0.7,14,7,0.7,.494,.496,0.1,1.4,3,,*6/5H4,
1973,25,CIN,NL,89,357,328,39,94,18,3,8,46,22,5,21,55,.287,.327,.433,.760,114,142,7,1,2,5,3,6/8H,AS,1973,25,CIN,NL,89,357,6,3,1,0,6,16,1.7,12,28,2.8,.520,.511,2.8,0.6,28,,6/8H,AS
1974,26,CIN,NL,160,653,594,70,167,25,1,14,82,41,6,44,79,.281,.335,.397,.732,106,236,20,6,5,4,10,*6/H8,"MVP-15,GG",1974,26,CIN,NL,160,653,4,5,-1,14,11,32,3.5,21,54,5.5,.522,.522,3.9,2.7,40,,*6/H8,"MVP-15,GG"
1975,27,CIN,NL,140,558,507,62,139,23,1,5,49,33,6,39,51,.274,.326,.353,.679,88,179,17,2,6,4,4,*6H/5,"AS,GG",1975,27,CIN,NL,140,558,-7,4,-1,15,9,20,2.1,18,38,3.9,.516,.514,2.1,2.6,23,,*6H/5,"AS,GG"
1976,28,CIN,NL,152,636,576,74,162,28,7,9,69,21,10,49,68,.281,.335,.401,.736,107,231,11,1,4,6,11,*6/H,"AS,GG",1976,28,CIN,NL,152,636,3,0,0,9,10,22,2.4,21,42,4.4,.516,.515,3.3,2.2,33,,*6/H,"AS,GG"
1977,29,CIN,NL,156,630,572,59,155,26,3,8,64,29,7,46,77,.271,.322,.369,.691,84,211,15,0,6,6,6,*6,"AS,GG",1977,29,CIN,NL,156,630,-10,4,-1,6,10,9,0.9,20,30,2.8,.506,.506,2.2,1.7,23,"$200,000",*6,"AS,GG"
1978,30,CIN,NL,153,624,565,75,170,33,4,6,67,23,10,51,83,.301,.357,.405,.763,114,229,14,1,3,4,4,*6/H,AS,1978,30,CIN,NL,153,624,10,1,1,-6,10,16,1.8,20,36,3.8,.512,.511,4.4,0.4,42,"$200,000",*6/H,AS
1979,31,CIN,NL,149,666,590,91,166,25,3,16,84,19,7,64,73,.281,.348,.415,.764,107,245,18,0,6,6,5,*6/H,"AS,MVP-9,GG",1979,31,CIN,NL,149,666,10,3,-1,5,10,27,2.8,20,47,4.9,.519,.518,4.3,1.6,42,"$200,000",*6/H,"AS,MVP-9,GG"
1980,32,CIN,NL,156,669,622,72,162,31,8,5,77,12,2,37,107,.260,.300,.360,.660,83,224,20,1,2,6,2,*6/H4,AS,1980,32,CIN,NL,156,669,-11,0,-2,-2,10,-4,-0.6,23,18,1.7,.497,.497,2.0,0.8,21,"$200,000",*6/H4,AS
1981,33,CIN,NL,106,468,421,57,129,28,0,5,67,4,5,37,61,.306,.358,.409,.767,116,172,13,1,2,7,1,*6,"AS,MVP-4,SS",1981,33,CIN,NL,106,468,8,2,0,2,7,19,2.2,15,34,3.7,.520,.513,3.3,1.1,32,"$200,000",*6,"AS,MVP-4,SS"
1982,34,CIN,NL,147,623,572,48,164,25,4,5,53,13,6,45,61,.287,.337,.371,.707,97,212,20,0,2,4,4,*6/H35,"AS,SS",1982,34,CIN,NL,147,623,0,0,0,4,9,14,1.6,21,35,3.7,.510,.509,3.1,1.5,31,"$926,000",*6/H35,"AS,SS"
1983,35,CIN,NL,143,593,528,54,123,22,0,1,47,14,9,56,81,.233,.303,.280,.583,61,148,21,0,2,7,9,*6/5H3,,1983,35,CIN,NL,143,593,-28,1,-2,9,9,-11,-1.4,20,9,0.6,.491,.492,-0.4,1.9,0,"$926,000",*6/5H3,
1984,36,CIN,NL,154,600,531,46,130,26,1,4,58,22,6,52,72,.245,.307,.320,.628,74,170,9,0,8,9,5,65H/3,,1984,36,CIN,NL,154,600,-18,-1,0,-17,7,-29,-3.3,21,-9,-1.2,.479,.480,0.6,-1.1,9,"$926,000",65H/3,
1985,37,CIN,NL,155,620,560,59,141,19,2,7,48,16,12,50,67,.252,.314,.330,.645,78,185,23,3,3,4,3,*6/H5,,1985,37,CIN,NL,155,620,-16,-4,-3,-4,10,-17,-2.0,21,4,0.2,.488,.488,0.5,0.7,8,"$920,000",*6/H5,
1986,38,CIN,NL,90,346,311,42,81,13,2,3,30,13,2,26,43,.260,.314,.344,.658,79,107,13,0,5,4,1,6345/H,,1986,38,CIN,NL,90,346,-8,3,-1,-2,4,-5,-0.6,12,7,0.6,.494,.496,0.8,0.1,9,"$920,000",6345/H,
1987,39,CIN,NL,104,311,279,32,89,15,0,1,33,4,3,28,24,.319,.377,.384,.761,100,107,10,0,1,3,5,4H35/6,,1987,39,CIN,NL,104,311,0,-1,-1,4,1,3,0.3,11,13,1.3,.503,.502,0.9,0.5,9,"$320,000",4H35/6,
1988,40,CIN,NL,84,216,197,11,39,9,0,0,8,3,2,18,23,.198,.265,.244,.509,45,48,4,0,1,0,5,4H36/51,,1988,40,CIN,NL,84,216,-15,-2,1,3,1,-11,-1.3,7,-4,-0.6,.485,.492,-0.9,0.5,-6,"$370,000",4H36/51,
