Name,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WAR,Birthdate,Debut,Birthplace
Pablo López,7,2018,2024,1,44,44,.500,3.95,138,138,0,1,1,0,771.0,705,352,338,95,201,12,798,43,2,22,3188,12.17,"Mar 7, 1996","Jun 30, 2018","Cabimas, Zulia"
Urbano Lugo,6,1985,1990,0,6,7,.462,5.31,50,19,11,1,0,0,162.2,185,103,96,33,67,2,91,7,0,8,721,-0.53,"Aug 12, 1962","Apr 28, 1985","Punto Fijo, Falcon"
Andrés Machado,4,2017,2023,0,7,3,.700,4.48,137,0,29,0,0,0,148.2,148,87,74,25,57,3,120,8,1,7,646,0.05,"Apr 22, 1993","Sep 2, 2017","Urama, Carabobo"
Julio Machado,3,1989,1991,0,7,5,.583,3.12,101,0,43,0,0,6,147.0,115,54,51,16,83,7,151,5,0,8,623,2.56,"Dec 1, 1965","Sep 7, 1989","San Carlos del Zulia, Zulia"
Jean Machi,5,2012,2017,0,13,2,.867,3.38,194,0,44,0,0,6,191.2,164,76,72,18,57,6,152,2,1,10,776,1.99,"Feb 1, 1982","Sep 3, 2012","El Tigre, Anzoategui"
Luís Madero,1,2021,2021,0,0,0,,9.00,6,0,3,0,0,0,12.0,13,12,12,3,8,1,4,1,0,0,56,-0.33,"Apr 15, 1997","May 10, 2021","Maracay, Aragua"
Germán Márquez,8,2016,2023,1,65,56,.537,4.41,176,173,0,4,2,0,1016.0,1002,533,498,141,302,13,983,32,4,55,4296,15.91,"Feb 22, 1995","Sep 8, 2016","San Felix, Bolivar"
David Martínez,2,2013,2014,0,1,0,1.000,6.38,7,0,3,0,0,0,18.1,21,15,13,2,5,0,12,0,1,1,80,-0.36,"Aug 4, 1987","Aug 21, 2013","Cumana, Sucre"
Willie Martínez,1,2000,2000,0,0,0,,3.00,1,0,0,0,0,0,3.0,1,1,1,0,1,0,1,0,0,0,11,0.08,"Jan 4, 1978","Jun 14, 2000","Barquisimeto, Lara"
Frank Mata,1,2010,2010,0,0,0,,7.79,15,0,6,0,0,0,17.1,24,16,15,2,8,3,9,2,0,1,85,-0.36,"Mar 11, 1984","May 26, 2010","Barcelona, Anzoategui"
Yoervis Medina,3,2013,2015,0,10,9,.526,3.08,146,0,43,0,0,2,146.0,120,52,50,10,79,10,147,9,0,17,635,2.82,"Jul 27, 1988","Apr 16, 2013","Puerto Cabello, Carabobo"
Yohander Méndez,4,2016,2019,0,3,3,.500,6.23,20,5,1,0,0,0,47.2,50,36,33,9,25,0,33,1,0,0,211,-0.14,"Jan 17, 1995","Sep 5, 2016","Valencia, Carabobo"
José Mijares,6,2008,2013,0,6,11,.353,3.23,324,0,63,0,0,0,259.0,257,105,93,21,103,11,229,13,0,9,1132,4.22,"Oct 29, 1984","Sep 13, 2008","Caracas, Distrito Federal"
Anthony Molina,1,2024,2024,0,0,0,,7.84,11,1,8,0,0,0,20.2,27,19,18,2,11,1,9,1,0,2,94,-0.38,"Jan 12, 2002","Mar 28, 2024","San Joaquin, Carabobo"
Carlos Monasterios,1,2010,2010,0,3,5,.375,4.38,32,13,5,0,0,0,88.1,99,48,43,15,29,3,52,8,1,7,399,0.54,"Mar 21, 1986","Apr 5, 2010","Higuerote, Miranda"
Keider Montero,1,2024,2024,0,0,1,.000,8.31,1,1,0,0,0,0,4.1,5,4,4,2,1,0,5,0,0,1,19,-0.12,"Jul 6, 2000","May 29, 2024","Santa Teresa del Tuy, Miranda"
Miguel Montero,13,2006,2018,2,0,0,,3.86,2,0,2,0,0,0,2.1,4,1,1,0,2,0,0,1,0,1,14,0.01,"Jul 9, 1983","Sep 6, 2006","Caracas, Distrito Federal"
Ramón Monzant,6,1954,1960,0,16,21,.432,4.38,106,32,30,8,1,1,316.2,330,176,154,42,134,11,201,11,0,6,1389,1.25,"Jan 4, 1933","Jul 2, 1954","Maracaibo, Zulia"
Francisco Morales,1,2022,2022,0,0,0,,7.20,3,0,2,0,0,1,5.0,2,5,4,1,6,0,3,1,0,0,21,-0.12,"Oct 27, 1999","May 9, 2022","San Juan de los Morros, Guarico"
Franklin Morales,10,2007,2016,0,23,30,.434,4.56,305,47,68,0,0,11,490.0,483,267,248,61,223,19,385,28,18,25,2152,1.80,"Jan 24, 1986","Aug 18, 2007","San Juan de los Morros, Guarico"
Osmer Morales,1,2018,2018,0,0,0,,0.00,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,1,2,0.06,"Oct 30, 1992","Aug 16, 2018","Villa de Cura, Aragua"
Diego Moreno,2,2015,2017,0,1,1,.500,5.06,9,0,4,0,0,0,16.0,15,10,9,2,5,0,14,3,0,1,71,-0.13,"Jul 21, 1987","Jun 22, 2015","Higuerote, Miranda"
Edwin Moreno,1,2009,2009,0,1,3,.250,4.84,19,0,5,0,0,0,22.1,28,13,12,3,15,3,15,2,0,0,108,-0.12,"Jul 30, 1980","Apr 7, 2009","El Mojan, Zulia"
Juan Moreno,2,2001,2002,0,3,3,.500,4.37,49,0,7,0,0,0,47.1,28,27,23,7,38,3,39,0,3,5,207,0.43,"Feb 28, 1975","May 17, 2001","Maiquetia, La Guaira"
Orber Moreno,3,1999,2004,0,3,1,.750,4.44,47,0,15,0,0,1,50.2,43,29,25,2,20,0,41,3,1,2,216,0.18,"Apr 27, 1977","May 25, 1999","Caracas, Distrito Federal"
Guillermo Moscoso,5,2009,2013,0,13,14,.481,4.28,70,26,11,0,0,0,222.2,206,119,106,28,86,4,166,8,1,14,956,1.96,"Nov 14, 1983","May 30, 2009","Maracay, Aragua"
Gabriel Moya,2,2017,2018,0,3,1,.750,4.64,42,6,10,0,0,1,42.2,40,22,22,8,15,0,36,1,1,1,185,0.17,"Jan 9, 1995","Sep 12, 2017","Cabimas, Zulia"
Edward Mujica,11,2006,2017,1,24,28,.462,3.92,499,4,180,0,0,50,553.0,562,257,241,80,89,20,430,7,5,9,2254,3.85,"May 10, 1984","Jun 21, 2006","Valencia, Carabobo"
José Mujica,1,2020,2020,0,0,0,,12.46,2,0,1,0,0,0,4.1,10,7,6,2,2,0,1,0,0,0,23,-0.45,"Jun 29, 1996","Sep 8, 2020","Valencia, Carabobo"
Edgar Navarro,1,2023,2023,0,0,0,,7.27,8,0,6,0,0,0,8.2,11,7,7,2,2,0,9,2,0,0,39,-0.09,"Feb 5, 1998","Jul 30, 2023","Ciudad Bolivar, Bolivar"
Ángel Nesbitt,1,2015,2015,0,1,1,.500,5.40,24,0,6,0,0,0,21.2,22,14,13,2,8,2,14,4,0,3,98,-0.39,"Dec 4, 1990","Apr 8, 2015","Maracay, Aragua"
Fernando Nieve,4,2006,2010,0,8,11,.421,4.61,99,19,22,0,0,0,185.2,177,97,95,34,84,8,143,5,0,5,806,0.91,"Jul 15, 1982","Apr 4, 2006","Puerto Cabello, Carabobo"
Lester Oliveros,3,2011,2014,0,0,1,.000,5.22,27,0,8,0,0,0,29.1,28,17,17,2,15,2,19,0,0,3,125,-0.07,"May 28, 1988","Jul 1, 2011","Maracay, Aragua"
Anthony Ortega,1,2009,2009,0,0,2,.000,9.24,3,3,0,0,0,0,12.2,19,15,13,4,6,0,7,0,0,0,62,-0.55,"Aug 24, 1985","Apr 25, 2009","Ocumare del Tuy, Miranda"
José Ortega,3,2012,2014,0,0,3,.000,5.74,14,0,5,0,0,0,15.2,13,10,10,3,11,1,15,2,0,0,74,-0.02,"Oct 12, 1988","Jun 8, 2012","Caja Seca, Zulia"
Joe Ortiz,1,2013,2013,0,2,2,.500,4.23,32,0,10,0,0,0,44.2,46,26,21,5,10,2,27,0,0,0,187,-0.33,"Aug 13, 1990","Mar 31, 2013","Caracas, Distrito Federal"
José Osuna,4,2017,2020,0,0,0,,3.86,2,0,1,0,0,0,2.1,3,1,1,1,0,0,0,0,0,0,9,0.03,"Dec 12, 1992","Apr 18, 2017","Trujillo, Trujillo"
Luis Oviedo,1,2021,2021,0,1,2,.333,8.80,22,1,12,0,0,0,29.2,33,32,29,4,26,1,31,2,0,2,147,-0.93,"May 15, 1999","Apr 3, 2021","Barquisimeto, Lara"
Alex Pacheco,1,1996,1996,0,0,0,,11.12,5,0,2,0,0,0,5.2,8,7,7,2,1,0,7,0,0,0,26,-0.26,"Jul 19, 1973","Apr 17, 1996","Caracas, Distrito Federal"
Jermaine Palacios,1,2022,2022,0,0,0,,0.00,2,0,2,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,0.02,"Jul 19, 1996","May 31, 2022","Barquisimeto, Lara"
Daniel Palencia,2,2023,2024,0,5,4,.556,5.03,34,0,10,0,0,1,39.1,33,25,22,3,22,0,45,3,0,5,171,0.04,"Feb 5, 2000","Jul 4, 2023","San Carlos, Cojedes"
Eduardo Paredes,2,2017,2018,0,0,1,.000,5.53,32,0,13,0,0,1,40.2,46,25,25,7,13,1,32,4,0,0,178,-0.21,"Mar 6, 1995","Jun 23, 2017","Valera, Trujillo"
Gerardo Parra,12,2009,2021,0,0,0,,inf,1,0,0,0,0,0,0.0,1,5,5,0,4,0,0,0,0,1,5,0.00,"May 6, 1987","May 13, 2009","Santa Barbara, Zulia"
David Peralta,11,2014,2024,0,0,0,,27.00,1,0,1,0,0,0,1.0,4,3,3,1,0,0,1,1,0,0,9,-0.09,"Aug 14, 1987","Jun 1, 2014","Valencia, Carabobo"
José Peraza,7,2015,2021,0,0,0,,5.40,3,0,2,0,0,0,1.2,3,1,1,0,0,0,0,0,0,0,7,0.02,"Apr 30, 1994","Aug 10, 2015","Barinas, Barinas"
Oswaldo Peraza,1,1988,1988,0,5,7,.417,5.55,19,15,0,1,0,0,86.0,98,62,53,10,37,2,61,2,4,4,392,-1.08,"Oct 19, 1962","Apr 4, 1988","Puerto Cabello, Carabobo"
Carlos Pérez,5,2015,2023,0,0,0,,10.80,2,0,2,0,0,0,1.2,4,2,2,1,2,0,0,0,0,0,10,-0.04,"Oct 27, 1990","May 5, 2015","Valencia, Carabobo"
Hernán Pérez,10,2012,2021,0,0,0,,5.79,9,0,7,0,0,0,9.1,11,6,6,2,4,0,5,1,0,0,42,-0.02,"Mar 26, 1991","Jun 9, 2012","Villa de Cura, Aragua"
Martín Pérez,13,2012,2024,1,86,84,.506,4.45,299,254,14,4,3,0,1498.0,1629,822,740,172,538,11,1048,47,15,43,6507,13.65,"Apr 4, 1991","Jun 27, 2012","Guanare, Portuguesa"
Tomás Pérez,12,1995,2008,0,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2,0.01,"Dec 29, 1973","May 3, 1995","Barquisimeto, Lara"
Williams Pérez,2,2015,2016,0,9,9,.500,5.18,34,31,1,1,0,1,170.1,187,103,98,20,66,5,100,11,1,8,747,-0.38,"May 21, 1991","May 8, 2015","Acarigua, Portuguesa"
Yusmeiro Petit,14,2006,2021,0,50,44,.532,3.93,515,59,104,2,1,8,904.0,833,414,395,137,205,25,767,5,3,17,3699,9.60,"Nov 22, 1984","May 14, 2006","Maracaibo, Zulia"
Yohan Pino,2,2014,2015,0,2,7,.222,4.63,18,12,3,0,0,0,79.2,89,45,41,10,17,0,63,1,0,2,340,0.26,"Dec 26, 1983","Jun 19, 2014","Turmero, Aragua"
René Pinto,3,2022,2024,0,0,0,,45.00,1,0,0,0,0,0,1.0,5,5,5,3,0,0,0,0,0,0,8,-0.15,"Nov 2, 1996","Apr 26, 2022","Maracay, Aragua"
Renyel Pinto,5,2006,2010,0,8,10,.444,3.62,244,0,39,0,0,2,231.0,186,100,93,24,152,6,222,14,0,20,1013,3.30,"Jul 8, 1982","May 18, 2006","Cupira, Miranda"
Ricardo Pinto,3,2017,2024,0,1,2,.333,9.07,33,0,12,0,0,1,42.2,62,46,43,10,24,1,33,3,1,1,219,-1.57,"Jan 20, 1994","May 31, 2017","Guacara, Carabobo"
Carlos Pulido,3,1994,2004,0,3,8,.273,5.98,32,15,5,0,0,0,111.1,118,79,74,19,47,2,47,2,2,4,486,-0.15,"Aug 5, 1971","Apr 9, 1994","Caracas, Distrito Federal"
Rubén Quevedo,4,2000,2003,0,14,30,.318,6.15,66,58,1,2,1,0,326.1,364,243,223,70,175,12,237,7,0,9,1501,-3.20,"Jan 5, 1979","Apr 14, 2000","Valencia, Carabobo"
José Quijada,5,2019,2023,0,2,12,.143,4.89,118,0,27,0,0,8,108.2,86,64,59,18,67,8,148,10,1,4,484,0.02,"Nov 9, 1995","Apr 24, 2019","Caripito, Monagas"
Ramón Ramírez,2,2008,2009,0,1,1,.500,2.97,16,4,3,0,0,0,39.1,25,13,13,5,15,0,29,2,1,0,153,1.08,"Sep 16, 1982","Aug 30, 2008","Cagua, Aragua"
Edgar Ramos,1,1997,1997,0,0,2,.000,5.14,4,2,0,0,0,0,14.0,15,9,8,3,6,0,4,1,0,1,60,-0.09,"Mar 6, 1975","May 21, 1997","Cumana, Sucre"
Edubray Ramos,4,2016,2019,0,7,11,.389,3.71,173,0,40,0,0,1,155.1,146,71,64,18,61,7,168,2,2,13,659,1.95,"Dec 19, 1992","Jun 24, 2016","Caracas, Distrito Federal"
Juan Rincón,10,2001,2010,0,35,29,.547,4.03,444,3,118,0,0,3,507.0,481,256,227,41,218,23,469,19,1,29,2196,4.70,"Jan 23, 1979","Jun 7, 2001","Maracaibo, Zulia"
Mauricio Robles,1,2013,2013,0,0,0,,1.93,3,0,0,0,0,0,4.2,7,3,1,0,3,0,6,0,1,2,25,-0.01,"Mar 5, 1989","Sep 3, 2013","Valencia, Carabobo"
Eduardo Rodríguez,8,2015,2023,0,82,53,.607,4.03,202,196,1,0,0,0,1100.1,1046,518,493,134,376,6,1107,30,3,13,4661,17.99,"Apr 7, 1993","May 28, 2015","Valencia, Carabobo"
Francisco Rodríguez,16,2002,2017,6,52,53,.495,2.86,948,0,677,0,0,437,976.0,738,336,310,98,389,42,1142,17,2,68,4011,24.16,"Jan 7, 1982","Sep 18, 2002","Caracas, Distrito Federal"
Henry Rodríguez,6,2009,2014,0,5,7,.417,4.31,150,0,60,0,0,11,150.1,124,82,72,9,107,2,151,7,3,36,687,-0.68,"Feb 25, 1987","Sep 21, 2009","Santa Barbara, Zulia"
José Rodríguez,3,2019,2023,0,0,1,.000,3.33,11,1,3,0,0,0,24.1,22,9,9,5,13,0,14,0,0,1,104,0.63,"Aug 29, 1995","Jul 27, 2019","Ciudad Bolivar, Bolivar"
Nivaldo Rodriguez,2,2020,2021,0,0,1,.000,4.50,9,0,7,0,0,0,16.0,19,9,8,5,10,1,11,3,0,1,77,-0.09,"Apr 16, 1997","Jul 28, 2020","Naguanagua, Carabobo"
Ricardo Rodríguez,2,2017,2018,0,0,1,.000,5.49,20,0,4,0,0,1,19.2,28,12,12,3,5,1,14,1,0,0,91,0.03,"Aug 31, 1992","Aug 14, 2017","Maracay, Aragua"
Roberto Rodríguez,2,1967,1970,0,4,3,.571,4.81,57,5,19,0,0,7,112.1,128,71,60,13,37,3,91,1,0,5,494,-1.09,"Feb 5, 1941","May 13, 1967","Caracas, Distrito Federal"
Wilfredo Rodríguez,1,2001,2001,0,0,0,,15.00,2,0,1,0,0,0,3.0,6,5,5,2,1,0,3,0,0,0,16,-0.14,"Mar 20, 1979","Sep 21, 2001","Ciudad Bolivar, Bolivar"
Wilking Rodríguez,1,2014,2014,0,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0,7,0.08,"Mar 2, 1990","Jun 3, 2014","Puerto Cabello, Carabobo"
Miguel Rojas,11,2014,2024,0,0,0,,6.00,3,0,3,0,0,0,3.0,3,2,2,0,1,0,0,1,0,0,14,-0.02,"Feb 24, 1989","Jun 6, 2014","Los Teques, Miranda"
Bruce Rondón,5,2013,2018,0,10,10,.500,5.73,158,0,42,0,0,8,141.1,140,94,90,12,79,6,173,7,3,17,641,-1.50,"Dec 9, 1990","Apr 25, 2013","Valencia, Carabobo"
Héctor Rondón,8,2013,2020,0,24,20,.545,3.49,444,1,190,0,0,92,436.0,390,184,169,50,134,11,441,14,1,19,1819,4.89,"Feb 26, 1988","Apr 3, 2013","Guatire, Miranda"
Jorge Rondon,3,2014,2016,0,0,1,.000,13.26,13,0,4,0,0,0,19.0,37,33,28,4,11,0,13,0,0,2,105,-0.96,"Feb 16, 1988","Jun 29, 2014","Calabozo, Guarico"
José Rondón,4,2016,2021,0,0,0,,0.00,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,5,0.04,"Mar 3, 1994","Jul 29, 2016","Villa de Cura, Aragua"
José Ruiz,8,2017,2024,0,6,8,.429,4.38,223,2,84,0,0,0,232.1,229,124,113,36,111,5,231,9,4,15,1034,1.19,"Oct 21, 1994","Jul 24, 2017","Guacara, Carabobo"
Eduardo Salazar,2,2023,2024,0,1,0,1.000,6.91,9,0,4,0,0,0,14.1,19,12,11,0,7,0,8,4,0,1,71,-0.13,"May 5, 1998","May 24, 2023","Cumana, Sucre"
Luis Salazar,13,1980,1992,0,0,0,,4.50,2,0,2,0,0,0,2.0,2,1,1,0,1,0,0,0,0,2,9,0.01,"May 19, 1956","Aug 15, 1980","Barcelona, Anzoategui"
Carlos Sanabria,1,2020,2020,0,0,0,,9.00,2,0,2,0,0,0,2.0,3,2,2,1,3,0,2,0,0,2,12,-0.04,"Jan 24, 1997","Aug 5, 2020","La Victoria, Aragua"
Aníbal Sánchez,16,2006,2022,0,116,119,.494,4.06,364,341,9,9,7,0,2017.2,1960,987,910,238,686,44,1774,60,19,62,8607,29.92,"Feb 27, 1984","Jun 25, 2006","Maracay, Aragua"
Eduardo Sánchez,3,2011,2013,0,3,3,.500,3.68,47,0,16,0,0,5,51.1,30,21,21,4,34,4,53,4,1,10,217,0.63,"Feb 16, 1989","Apr 13, 2011","Maracay, Aragua"
Luis Sánchez,5,1981,1985,0,28,21,.571,3.75,194,1,127,0,0,27,369.2,371,169,154,32,145,30,216,15,2,7,1581,3.88,"Aug 24, 1953","Apr 10, 1981","Cariaco, Sucre"
Ricardo Sanchez,1,2020,2020,0,0,0,,6.75,3,0,1,0,0,0,5.1,5,4,4,1,5,0,4,1,1,0,27,-0.11,"Apr 11, 1997","Aug 17, 2020","Puerto Cabello, Carabobo"
Rómulo Sánchez,3,2007,2010,0,1,0,1.000,4.04,28,0,13,0,0,1,35.2,31,16,16,2,17,0,19,2,0,5,147,0.33,"Apr 28, 1984","Aug 26, 2007","Carora, Lara"
Yolmer Sanchez,8,2014,2022,0,0,0,,9.00,2,0,2,0,0,0,2.0,5,2,2,1,0,0,0,0,0,0,10,-0.03,"Jun 29, 1992","Jul 13, 2014","Maracay, Aragua"
Pablo Sandoval,14,2008,2021,2,0,0,,0.00,2,0,2,0,0,0,2.0,0,0,0,0,0,0,0,1,0,0,6,0.06,"Aug 11, 1986","Aug 14, 2008","Puerto Cabello, Carabobo"
Johan Santana,12,2000,2012,4,139,78,.641,3.20,360,284,23,15,10,1,2025.2,1726,773,721,220,567,13,1988,36,12,68,8262,51.08,"Mar 13, 1979","Apr 3, 2000","Tovar, Merida"
Luis Sardiñas,5,2014,2018,0,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,7,0.07,"May 16, 1993","Apr 20, 2014","Upata, Bolivar"
Manny Sarmiento,7,1976,1983,0,26,22,.542,3.49,228,22,78,4,0,12,513.2,461,224,199,42,172,30,283,3,5,7,2134,3.87,"Feb 2, 1956","Jul 30, 1976","Cagua, Aragua"
Antonio Senzatela,7,2017,2023,0,39,43,.476,4.87,145,119,5,1,0,0,679.2,772,389,368,80,209,8,451,27,7,8,2952,7.38,"Jan 21, 1995","Apr 6, 2017","Valencia, Carabobo"
Alex Serrano,1,2008,2008,0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,0.05,"Feb 18, 1981","Apr 16, 2008","Barcelona, Anzoategui"
Carlos Silva,9,2002,2010,0,70,70,.500,4.68,316,180,39,6,2,2,1241.2,1496,687,645,153,238,25,554,45,4,32,5319,8.99,"Apr 23, 1979","Apr 1, 2002","Bolivar, Bolivar"
Miguel Socolovich,5,2012,2018,0,5,3,.625,4.62,74,0,29,0,0,1,87.2,80,48,45,10,30,1,73,2,1,1,373,0.08,"Jul 24, 1986","Jul 14, 2012","Caracas, Distrito Federal"
Les Straker,2,1987,1988,0,10,15,.400,4.22,47,40,2,2,1,1,237.0,236,118,111,32,84,7,99,2,8,6,997,3.03,"Oct 10, 1959","Apr 11, 1987","Ciudad Bolivar, Bolivar"
Albert Suárez,3,2016,2024,0,5,8,.385,3.83,53,18,11,0,0,1,155.0,141,69,66,16,48,7,121,6,0,3,647,1.75,"Oct 8, 1989","May 8, 2016","San Felix, Bolivar"
José Suarez,6,2019,2024,0,20,27,.426,5.49,93,58,8,1,0,0,356.0,377,228,217,63,147,5,324,22,2,14,1586,0.21,"Jan 3, 1998","Jun 2, 2019","Naguanagua, Carabobo"
Ranger Suárez,7,2018,2024,0,38,22,.633,3.17,146,78,22,2,2,4,528.0,477,211,186,47,177,6,488,14,5,11,2197,13.17,"Aug 26, 1995","Jul 26, 2018","Pie de Cuesta, Lara"
Robert Suarez,3,2022,2024,0,11,4,.733,2.40,96,0,35,0,0,18,101.1,57,28,27,10,37,3,109,4,1,3,393,3.28,"Mar 1, 1991","Apr 7, 2022","Bolivar, Bolivar"
Jesús Sucre,7,2013,2019,0,0,0,,14.40,6,0,5,0,0,0,5.0,12,8,8,1,2,0,0,0,1,0,28,-0.23,"Apr 30, 1988","May 24, 2013","Cumana, Sucre"
Jesús Tinoco,5,2019,2024,0,0,3,.000,4.42,53,2,8,0,0,1,73.1,65,40,36,19,41,1,57,4,0,3,318,0.46,"Apr 30, 1995","May 31, 2019",San Antonio de Maturin
Carlos Tocci,1,2018,2018,0,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.03,"Aug 23, 1995","Mar 31, 2018","Maracay, Aragua"
Pablo Torrealba,5,1975,1979,0,6,13,.316,3.27,111,13,40,4,1,5,239.1,275,110,87,12,104,14,113,8,3,6,1078,3.30,"Apr 28, 1948","Apr 9, 1975","Barquisimeto, Lara"
Luis Torrens,7,2017,2024,0,1,0,1.000,4.50,2,0,2,0,0,0,2.0,3,2,1,1,0,0,0,0,0,0,10,-0.10,"May 2, 1996","Apr 3, 2017","Valencia, Carabobo"
Alex Torres,4,2011,2015,0,7,4,.636,2.68,152,0,30,0,0,1,154.1,112,57,46,9,86,5,157,8,0,10,660,2.01,"Dec 8, 1987","Jul 18, 2011","Valencia, Carabobo"
Dilson Torres,1,1995,1995,0,1,2,.333,6.09,24,2,7,0,0,0,44.1,56,30,30,6,17,2,28,1,0,1,198,-0.18,"May 31, 1970","Apr 29, 1995","Maracay, Aragua"
José Torres,2,2016,2017,0,7,4,.636,4.04,66,0,17,0,0,1,71.1,66,34,32,13,18,0,66,4,3,3,298,0.59,"Sep 24, 1993","Sep 22, 2016","Caracas, Distrito Federal"
Ronald Torreyes,7,2015,2021,0,0,0,,13.50,2,0,2,0,0,0,2.2,6,4,4,2,0,0,1,0,0,0,14,-0.09,"Sep 2, 1992","Sep 13, 2015","Libertador, Distrito Federal"
César Tovar,12,1965,1976,0,0,0,,0.00,1,1,0,0,0,0,1.0,0,0,0,0,1,0,1,0,1,0,4,0.07,"Jul 3, 1940","Apr 12, 1965","Caracas, Distrito Federal"
Ugueth Urbina,11,1995,2005,2,44,49,.473,3.45,583,21,408,0,0,237,697.1,539,289,267,86,307,30,814,6,6,29,2918,13.27,"Feb 15, 1974","May 9, 1995","Caracas, Distrito Federal"
Lino Urdaneta,2,2004,2007,0,0,0,,63.00,3,0,0,0,0,0,1.0,7,7,7,1,1,0,0,0,0,0,11,-0.03,"Nov 20, 1979","Sep 9, 2004","Caracas, Distrito Federal"
Ildemaro Vargas,8,2017,2024,0,0,0,,3.00,3,0,3,0,0,0,3.0,2,1,1,1,1,0,0,1,0,0,13,0.05,"Jul 16, 1991","Jun 29, 2017","Caripito, Monagas"
Felipe Vazquez,5,2015,2019,2,17,13,.567,2.61,323,0,175,0,0,89,330.2,254,109,96,22,101,7,402,16,2,13,1348,8.29,"Jul 5, 1991","Apr 17, 2015","San Felipe, Yaracuy"
Eduardo Villacis,1,2004,2004,0,0,1,.000,13.50,1,1,0,0,0,0,3.1,6,5,5,1,4,0,0,0,0,1,20,-0.19,"Aug 29, 1979","May 1, 2004","Caracas, Distrito Federal"
Brayan Villarreal,3,2011,2013,0,4,8,.333,4.56,74,0,23,0,0,0,75.0,67,42,38,7,47,5,86,1,2,11,331,0.14,"May 10, 1987","Apr 2, 2011","La Guaira, La Guaira"
Miguel Yajure,3,2020,2022,0,1,3,.250,7.58,19,4,7,0,0,1,46.1,51,41,39,10,28,1,35,4,1,5,216,-1.22,"May 1, 1998","Aug 31, 2020","Cabimas, Zulia"
Carlos Zambrano,12,2001,2012,3,132,91,.592,3.66,354,302,11,10,5,0,1959.0,1709,879,797,161,898,41,1637,102,5,58,8389,38.32,"Jun 1, 1981","Aug 20, 2001","Puerto Cabello, Carabobo"
Víctor Zambrano,7,2001,2007,0,45,44,.506,4.64,187,100,36,1,0,3,706.1,669,399,364,78,404,13,529,63,5,46,3187,5.38,"Aug 6, 1975","Jun 21, 2001","Los Teques, Miranda"
Mauro Zárate,1,2007,2007,0,0,0,,10.80,4,0,0,0,0,0,5.0,11,7,6,3,1,0,3,1,0,1,30,-0.15,"Feb 8, 1983","Aug 7, 2007","Valencia, Carabobo"
Angel Zerpa,4,2021,2024,0,5,5,.500,3.39,46,6,3,0,0,0,82.1,82,36,31,11,19,0,64,5,0,3,346,1.40,"Sep 27, 1999","Sep 30, 2021","Valle de la Pascua, Guarico"
